Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Abhimanyu Mithun,5,3,17.00,92.72,24,2,4,-,-,51
Maninder Singh,59,18,12.25,54.44,8,1,-,-,-,49
Subroto Banerjee,6,5,24.50,116.66,25,2,1,-,-,49
Saurabh Tiwary,3,2,0.00,87.50,37,5,1,-,-,49
Sarandeep Singh,5,4,15.66,64.38,19,6,-,-,-,47
Pragyan Ojha,18,10,23.00,41.07,16,3,-,-,-,46
Karun Nair,2,2,23.00,52.27,39,6,-,-,-,46
Sreesanth,53,21,4.00,36.36,10,2,-,-,-,44
Ashok Mankad,1,1,44.00,72.13,44,3,-,-,-,44
Amit Mishra,36,11,5.37,52.43,14,4,-,-,-,43
Aashish Kapoor,17,6,7.16,68.25,19,2,1,-,-,43
Shivam Dube,4,4,10.75,89.58,25,3,2,-,-,43
Wriddhiman Saha,9,5,13.66,73.21,16,5,-,-,-,41
Arshdeep Singh,9,6,7.80,111.42,18,1,3,-,-,39
Shiv Sunder Das,4,4,13.00,50.64,30,2,1,-,-,39
Piyush Chawla,25,12,5.42,65.51,13,3,-,-,-,38
Sudhir Sakharam Naik,2,2,19.00,55.88,20,3,-,-,-,38
Joginder Sharma,4,3,35.00,116.66,29,5,-,-,-,35
Salil Ankola,20,13,3.77,80.95,9,1,1,-,-,34
Raju Kulkarni,10,5,16.50,84.61,15,3,-,-,-,33
Atul Wassan,9,6,8.25,58.92,16,2,-,-,-,33
Venkatapathy Raju,53,16,4.00,47.76,8,1,-,-,-,32
Mohit Sharma,26,9,7.75,46.96,11,5,-,-,-,31
Bishan Singh Bedi,10,7,6.20,44.28,13,1,-,-,-,31
Debasis Mohanty,45,11,5.60,49.12,18,1,-,-,-,28
Dhawal Kulkarni,12,2,0.00,96.42,25,2,1,-,-,27
Eknath Dhondu Solkar,7,6,4.50,34.17,13,2,-,-,-,27
Abey Kuruvilla,25,11,3.71,60.46,7,1,1,-,-,26
Venkatesh Iyer,2,2,12.00,60.00,22,-,1,-,-,24
Sairaj Bahutule,8,4,7.66,79.31,11,2,-,-,-,23
Avesh Khan,8,4,7.66,79.31,10,2,1,-,-,23
Vivek Razdan,3,3,11.50,85.18,18,3,-,-,-,23
Ashok Dinda,13,5,4.20,58.33,16,1,-,-,-,21
Bharat Arun,4,3,10.50,65.62,8,2,-,-,-,21
Parthasarthi Sharma,2,2,10.00,51.28,14,-,-,-,-,20
Thirunavukkarasu Kumaran,8,3,6.33,70.37,8,2,-,-,-,19
Laxmi Shukla,3,2,9.00,94.73,13,1,-,-,-,18
Sujith Somasunder,2,2,8.00,25.39,9,1,-,-,-,16
Prashant Sridhar Vaidya,4,2,7.50,125.00,12,2,-,-,-,15
Yashasvi Jaiswal,1,1,15.00,68.18,15,3,-,-,-,15
Harshit Rana,3,1,13.00,130.00,13,1,1,-,-,13
Gurkeerat Singh Mann,3,3,6.50,100.00,8,2,-,-,-,13
Rahul Chahar,1,1,13.00,52.00,13,-,-,-,-,13
Rishi Dhawan,3,2,12.00,92.30,9,1,-,-,-,12
Gopal Sharma,11,2,5.50,45.83,7,-,-,-,-,11
Nilesh Kulkarni,10,5,5.50,55.00,5,-,-,-,-,11
Bharath Reddy,3,2,0.00,55.00,8,1,-,-,-,11
Bhagwath Chandrasekhar,1,1,0.00,84.61,11,-,-,-,-,11
Mukesh Kumar,6,2,10.00,62.50,6,2,-,-,-,10
Tirumalai Srinivasan,2,2,5.00,28.57,6,-,-,-,-,10
Wasim Jaffer,2,2,5.00,43.47,10,2,-,-,-,10
Dilip Rasiklal Doshi,15,5,3.00,45.00,5,-,-,-,-,9
Khaleel Ahmed,11,3,4.50,52.94,5,1,-,-,-,9
